Code,Population
41110,1190368.0
41460,1075570.0
41280,1075202.0
48120,1022641.0
41130,920362.0
41590,907958.0
43110,849388.0
41190,791263.0
41360,737366.0
11710,659381.0
44130,657821.0
45110,652458.0
41270,643044.0
28260,585036.0
41220,577335.0
11500,569456.0
41170,548398.0
27290,536927.0
48250,535380.0
11680,529698.0
41390,512438.0
28200,506911.0
11350,504609.0
47110,497197.0
41480,494970.0
50110,493543.0
28237,489137.0
41281,487874.0
11620,487038.0
41570,484194.0
41135,482026.0
30170,471033.0
11380,467851.0
41150,463789.0
11740,460258.0
11470,441550.0
41463,438500.0
27230,431703.0
11290,431047.0
29170,425001.0
27260,411794.0
47190,407880.0
28177,406723.0
11650,404704.0
44133,402181.0
29200,400895.0
11530,394811.0
41610,391704.0
26350,387297.0
28185,385955.0
11260,385638.0
36110,382770.0
11590,381704.0
41465,377198.0
11560,375785.0
41113,367004.0
11440,364374.0
42130,360722.0
41117,360127.0
26230,355302.0
30200,354845.0
48330,353647.0
41271,345535.0
48170,344133.0
27140,340050.0
11215,337713.0
11230,337241.0
44200,333602.0
45111,333221.0
41450,325310.0
45113,319237.0
41173,314102.0
11320,312053.0
31140,310737.0
11410,305541.0
26380,302450.0
41273,297509.0
41285,296590.0
11305,293984.0
41287,290738.0
28245,289520.0
41210,288182.0
29140,287607.0
42110,286535.0
11200,281370.0
26320,279303.0
46150,278809.0
46130,274914.0
45140,274117.0
26260,273447.0
41111,271012.0
47113,269427.0
43113,268080.0
47290,267763.0
41410,266531.0
27710,263307.0
45130,262635.0
41461,259872.0
26290,256647.0
44131,255640.0
47130,249845.0
48123,248650.0
41630,241346.0
48310,236888.0
41171,234296.0
41131,232125.0
11545,229890.0
41370,229833.0
47111,227770.0
30140,227500.0
41500,223151.0
26410,221647.0
31710,221546.0
30110,220102.0
11170,218945.0
31200,218635.0
46110,217041.0
48121,216077.0
29155,212701.0
42150,211541.0
31110,208508.0
43130,208346.0
41133,206211.0
26470,203871.0
26530,203496.0
43111,195650.0
48129,194138.0
43114,194036.0
41115,192225.0
43112,191622.0
41550,189146.0
41310,188876.0
50130,184830.0
48127,183995.0
48125,179781.0
26710,178459.0
44210,176440.0
26500,174907.0
30230,173269.0
44270,167955.0
41430,160464.0
27170,160343.0
47170,154860.0
28110,152265.0
46230,152184.0
31170,151945.0
41650,147019.0
26440,143360.0
27200,141773.0
11110,141650.0
47150,139396.0
43150,131216.0
48220,123008.0
41830,122463.0
11140,120545.0
46170,116205.0
41670,113096.0
44230,112842.0
47850,112598.0
48240,109465.0
26200,108294.0
29110,105845.0
26140,105286.0
45180,105176.0
48270,102893.0
44150,102651.0
47230,101051.0
47210,100823.0
44800,98053.0
44180,97188.0
47250,94931.0
43770,92035.0
45710,91776.0
41250,91735.0
46840,90757.0
42170,89402.0
26170,86670.0
43750,86120.0
42210,82795.0
45210,81357.0
27110,79722.0
45190,78081.0
41290,77775.0
44810,77329.0
47280,70645.0
28710,69805.0
42720,67881.0
46820,65917.0
42230,63607.0
44760,62435.0
41820,62197.0
46790,62058.0
46770,62007.0
48730,61530.0
44825,61342.0
48880,60462.0
28140,58809.0
48740,58523.0
47900,55814.0
46830,52513.0
45790,52451.0
46870,52169.0
45800,50173.0
47730,50113.0
44710,50092.0
44770,50009.0
48820,49871.0
43730,49547.0
46890,47634.0
47930,47082.0
42730,46498.0
46710,45750.0
43740,45044.0
44250,44328.0
46880,43046.0
47840,42578.0
48850,42564.0
42780,42394.0
48890,42181.0
41800,42153.0
48840,41696.0
47820,41586.0
42760,40980.0
26110,39840.0
42190,39503.0
46780,38549.0
46910,37849.0
42750,37802.0
48870,37797.0
43745,37273.0
43760,37018.0
46800,35726.0
42770,34953.0
47770,34688.0
48860,34083.0
46810,33169.0
42810,32152.0
43720,31491.0
46860,30848.0
47830,30326.0
44790,30270.0
47920,30207.0
46900,29543.0
42830,27863.0
43800,27806.0
42820,27320.0
46720,27085.0
45770,26707.0
45750,26442.0
48720,26087.0
46730,24711.0
45720,24598.0
47750,24288.0
42790,23520.0
45730,23510.0
47720,23338.0
42800,21395.0
45740,21358.0
28720,20659.0
47760,16058.0
47940,8985.0
